file_path,category,lines
tests/test_clean_text.py,tests,146
tests/test_claimed_total.py,tests,94
test_final_validation.py,tests,68
tests/test_e2e_validation.py,tests,313
experiments/claude/20251026/test_refactoring_final.py,tests,225
test_e2e_validation.py,tests,156
tests/test_summary_and_list.py,tests,225
scripts/smoke_test.py,tests,351
experiments/claude/20251026/test_author_fix.py,tests,66
tests/test_page_text_api.py,tests,106
tests/test_sidebar_counts.py,tests,136
scripts/test_queries.py,tests,58
tests/test_l2_rag.py,tests,293
tests/test_parse_meta.py,tests,143
tests/test_filename_matching.py,tests,163
tests/test_4mode_smoke.py,tests,139
tests/test_consumables_summary.py,tests,112
tests/test_chunk_contract.py,tests,233
tests/test_results_list_postprocess.py,tests,109
tests/test_cost_routing.py,tests,171
scripts/run_smoke_test.py,tests,217
tests/test_ingest_from_docs.py,tests,93
tests/test_parse_table.py,tests,187
tests/__init__.py,tests,1
experiments/hybrid_chat_rag_v2.py,experiments,382
experiments/claude/20251026/diagnose_rag.py,experiments,252
check_db_content.py,scripts,40
fix_metadata_db.py,scripts,101
rebuild_rag_indexes.py,scripts,264
verify_golden_queries.py,scripts,126
config.py,scripts,924
rebuild_metadata.py,scripts,182
diagnose_qa_flow.py,scripts,263
everything_like_search.py,scripts,523
health_check.py,scripts,112
utils/session_manager.py,utils,274
utils/year_utils.py,utils,90
app/rag/utils/json_utils.py,utils,206
utils/css_loader.py,utils,46
scripts/utils/auto_indexer.py,utils,470
utils/document_loader.py,utils,306
utils/performance.py,utils,241
scripts/utils/auto_index_watcher.py,utils,240
app/rag/utils/context_hydrator.py,utils,157
utils/error_handler.py,utils,226
utils/pdf_utils.py,utils,146
app/rag/utils/__init__.py,utils,1
modules/metadata_extractor.py,other,524
config/indexing.py,other,42
app/core/__init__.py,other,31
scripts/bench_rag.py,other,306
modules/response_formatter.py,other,957
app/rag/parse/doctype.py,other,206
modules/ocr_processor.py,other,350
modules/search_module.py,other,434
app/rag/render/list_postprocess.py,other,133
components/sidebar_library.py,other,328
archive/20251026/scripts/rebuild_indexes_v2.py,other,270
app/rag/query_parser.py,other,197
archive/20251026/app/rag/retriever_v2.py,other,412
modules/statistics_module.py,other,569
app/rag/summary_templates.py,other,477
app/rag/preprocess/clean_text.py,other,280
rag_system/hybrid_search.py,other,1221
app/__init__.py,other,6
archive/20251026/app/data/metadata/db_compat.py,other,118
scripts/reclassify_doctype.py,other,201
app/rag/parse/parse_tables.py,other,323
app/rag/__init__.py,other,15
scripts/ingest_from_docs.py,other,560
rag_system/metadata_extractor.py,other,482
app/config/settings.py,other,55
scripts/list_documents.py,other,213
app/rag/query_router.py,other,303
scripts/ingest_content.py,other,208
modules/metadata_db.py,other,747
app/rag/render/__init__.py,other,5
archive/20251026/app/data/metadata/db.py,other,346
rag_system/korean_vector_store.py,other,434
rag_system/query_optimizer.py,other,221
rag_system/bm25_store.py,other,445
archive/20251026/app/rag/db.py,other,256
rag_system/multilevel_filter.py,other,478
app/core/errors.py,other,121
archive/20251026/app/rag/index_bm25.py,other,295
components/chat_interface.py,other,712
archive/20251026/app/indexer/__init__.py,other,11
app/rag/retrievers/hybrid.py,other,93
app/core/logging.py,other,104
scripts/analyze_usage.py,other,194
app/config/__init__.py,other,1
modules/search_module_hybrid.py,other,249
archive/20251026/app/rag/retrievers/hybrid.py,other,412
archive/20251026/app/rag/metrics.py,other,236
app/rag/pipeline.py,other,2140
app/rag/preprocess/__init__.py,other,5
components/document_preview.py,other,145
archive/20251026/app/ops/__init__.py,other,10
archive/20251026/app/ui/__init__.py,other,10
modules/cache_module.py,other,371
components/pdf_viewer.py,other,480
rag_system/qwen_llm.py,other,1667
scripts/audit_missing_content.py,other,111
app/rag/parse/parse_meta.py,other,361
rag_system/query_expansion.py,other,480
archive/20251026/root_duplicates/auto_indexer.py,other,470
app/rag/render/summary_templates.py,other,396
modules/reranker.py,other,300
rag_system/enhanced_ocr_processor.py,other,328
rag_system/korean_reranker.py,other,406
modules/optimized_llm.py,other,33
config/__init__.py,other,1
components/__init__.py,other,16
modules/llm_module.py,other,401
modules/document_module.py,other,418
rag_system/document_compression.py,other,454
components/chat_interface_before_improvement.py,other,68
rag_system/llm_singleton.py,other,102
rag_system/__init__.py,other,7
scripts/quick_rebuild_bm25.py,other,94
app/api/__init__.py,other,1
archive/20251026/app/data/__init__.py,other,16
app/rag/parse/__init__.py,other,6
modules/intent_module.py,other,337
archive/20251026/root_duplicates/auto_index_watcher.py,other,240
archive/20251026/app/rag/index_vec.py,other,272
app/rag/retrievers/__init__.py,other,15
archive/20251026/app/data/metadata/__init__.py,other,11
